Workout,Body Weight (lbs),Date,Exercises,Rating
Push Day 22,168.4,"January 1, 2025 10:00 AM (EST)","Military Press (https://www.notion.so/Military-Press-16e6551aa02980f28b6de98bc33a950a?pvs=21), Military Press (https://www.notion.so/Military-Press-16e6551aa029803292afd76cdc0897f4?pvs=21), SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-16e6551aa029803fac59ebd8fa61408c?pvs=21), Machine Chest Fly (https://www.notion.so/Machine-Chest-Fly-16e6551aa02980e3976ce9551cf22e0b?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-16e6551aa02980c6979df372bf853477?pvs=21)",7
Pull Day 22,170,"January 3, 2025 12:30 PM (EST)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1706551aa02980ff9893d6c51db5cbcb?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-1706551aa02980498d75c6c7fc2091d6?pvs=21), DB Row (https://www.notion.so/DB-Row-1706551aa02980ef9a1ec7f08fa7e832?pvs=21), NG Seated Cable Row (https://www.notion.so/NG-Seated-Cable-Row-1706551aa02980e2afafe0670876e8cf?pvs=21)",7
Arm Day 22,168.8,"January 5, 2025 1:30 AM (EST)","DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-1726551aa0298001b823e7095de575d7?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1726551aa02980aba3fcf20bd05743c9?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-1726551aa02980cc9a80f3cbd27bdd6b?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-1726551aa0298094b0a6c4b66db12572?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-1726551aa02980e3b139fdc0e584d6b1?pvs=21), Strict barbell curl (into not strict) (https://www.notion.so/Strict-barbell-curl-into-not-strict-1726551aa02980e4831ef08006006521?pvs=21), Double Cable Bicep Curl(1x-4.5) (https://www.notion.so/Double-Cable-Bicep-Curl-1x-4-5-17a6551aa02980339d14dd2a7ba047c9?pvs=21)",8
Leg Day 22,168,"January 7, 2025 12:00 PM (EST)","Back Squat (https://www.notion.so/Back-Squat-1746551aa02980a8a237eee42df8f33a?pvs=21), Back Squat (https://www.notion.so/Back-Squat-1746551aa029807cb73fc4b42b697e2d?pvs=21), Good Morning (https://www.notion.so/Good-Morning-1746551aa0298001a214e489e6927c68?pvs=21), Good morning (https://www.notion.so/Good-morning-1746551aa0298086ab80fb4ed370c859?pvs=21), Leg Press(2x-20) (https://www.notion.so/Leg-Press-2x-20-1756551aa02980fe81dff4fa2fb4e74d?pvs=21)",8
Push Day 23,169,"January 9, 2025 2:00 AM (EST)","Incline DB Press(1x-6) (https://www.notion.so/Incline-DB-Press-1x-6-1766551aa02980999948ddcb6bf5270f?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1766551aa029807b84cef13bb9e5076b?pvs=21), Machine Press (https://www.notion.so/Machine-Press-1766551aa02980d6b21ec0ec9685e15c?pvs=21)",7
Pull Day 23,168.4,"January 10, 2025 2:00 AM (EST)","Pull Up (https://www.notion.so/Pull-Up-1776551aa0298097bf04efd59707c80f?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-1776551aa02980a9af9acbcdbfb2eab8?pvs=21), Single Arm Cable Lat Pulldown (https://www.notion.so/Single-Arm-Cable-Lat-Pulldown-1776551aa0298092966ce510767f490f?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-1d4750f618aa4e5eab77acbe44dd1478?pvs=21), DB Upright Row (https://www.notion.so/DB-Upright-Row-1776551aa02980e2b2eadab09949c49f?pvs=21)",8
Arm Day 23,169,"January 13, 2025 3:00 AM (EST)","Incline DB Curl (https://www.notion.so/Incline-DB-Curl-17a6551aa029803e8876da8614f69caa?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-17a6551aa0298099b447d8230efa5448?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-17a6551aa029803ca7ade3aa51c40710?pvs=21), DB 1.5 Lateral Raise (https://www.notion.so/DB-1-5-Lateral-Raise-17a6551aa02980398f3af0cd5d46c781?pvs=21), Cable Tricep Pushdown (https://www.notion.so/Cable-Tricep-Pushdown-2f1c5a5f803f4fdb8e895048b0c2e9e6?pvs=21), Double Cable Bicep Curl(1x-4.5) (https://www.notion.so/Double-Cable-Bicep-Curl-1x-4-5-17a6551aa02980339d14dd2a7ba047c9?pvs=21), Cable Overhead Tricep Ext(f) (https://www.notion.so/Cable-Overhead-Tricep-Ext-f-17a6551aa029804f983bd52fae44904c?pvs=21)",9
Leg Day 23,166.8,"January 15, 2025 5:30 AM (EST)","Deadlift (https://www.notion.so/Deadlift-17c6551aa02980539f50ed09b4f55d03?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-17c6551aa02980f8bb76f9a863c55b77?pvs=21), Sled Press (https://www.notion.so/Sled-Press-17c6551aa0298098907bdcb8122398ca?pvs=21)",7
Push Day 24,166,"January 17, 2025 4:30 PM (EST)","Military Press (https://www.notion.so/Military-Press-17e6551aa029808cb2b0e287f7159f97?pvs=21), Military Press (https://www.notion.so/Military-Press-17e6551aa02980abbc13e367db3c7c69?pvs=21), Machine Press (https://www.notion.so/Machine-Press-17e6551aa029809d8389eed14bd69a4e?pvs=21)",5
Pull Day 24,167,"January 20, 2025 5:00 PM (EST)","WG Lat Pulldown(1x-13) (https://www.notion.so/WG-Lat-Pulldown-1x-13-17e6551aa029802d8766dcc083c208db?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1816551aa02980ef8a17e0b627585394?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-1836551aa029806baf65c7bb4d99e0da?pvs=21)",6
Arm Day 24,167,"January 22, 2025 1:00 AM (EST)","Standing DB Curl (2x-4) (https://www.notion.so/Standing-DB-Curl-2x-4-1836551aa0298091af0ae0daf3e94de5?pvs=21), Machine Tricep Extension(1x-14) (https://www.notion.so/Machine-Tricep-Extension-1x-14-1836551aa02980098bb1d6523ccbb7c4?pvs=21)",3
Leg Day 24,165,"January 25, 2025 2:00 PM (EST)","SM HR Back Squat (https://www.notion.so/SM-HR-Back-Squat-1876551aa02980f7bd98c324c423def5?pvs=21), DB RDL (https://www.notion.so/DB-RDL-1876551aa029806cad9cdc34403c5e5e?pvs=21), Hack Squat  (https://www.notion.so/Hack-Squat-1876551aa02980d08668cd3472a8d7e3?pvs=21)",7
Push Day 25,167.2,"January 28, 2025 1:00 AM (EST)","Bench Press (https://www.notion.so/Bench-Press-1896551aa029806d98f8e15436769852?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1896551aa029801ab11af4193236df71?pvs=21), Incline DB Press (https://www.notion.so/Incline-DB-Press-1896551aa02980bc89dbc05bb5bf2a78?pvs=21)",6
Pull Day 25,164.8,"January 31, 2025 1:00 AM (EST)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-18c6551aa0298014bec6c9187dba010f?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-18c6551aa02980ed93afd0af6d8c8cca?pvs=21), Lat pullover (https://www.notion.so/Lat-pullover-18c6551aa029804a85b6f8ffaf0991c4?pvs=21), Bent-over row (https://www.notion.so/Bent-over-row-18c6551aa029806eac6ee9237a500f2c?pvs=21)",7
Arm Day 25,164.4,"February 1, 2025 11:30 AM (EST)","Preacher curl (https://www.notion.so/Preacher-curl-18d6551aa029803ca223edfa5fd16be1?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-18d6551aa029807c9b02f6b6bf8dc85a?pvs=21), Cable Overhead Tricep Ext(1x-6.8) (https://www.notion.so/Cable-Overhead-Tricep-Ext-1x-6-8-18d6551aa02980d79187f8c87e48f686?pvs=21)",6
Leg Day 25,165,"February 4, 2025 7:00 AM (EST)","HR Back Squat (https://www.notion.so/HR-Back-Squat-1906551aa02980008784ef87b941f72f?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-1906551aa0298022935af5dc83d26fb3?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-1906551aa029803aa06df9c0c3279bf9?pvs=21), Sled press (https://www.notion.so/Sled-press-1906551aa02980d2af83d7f9c1d94b81?pvs=21)",7
Push Day 26,163.8,"February 7, 2025 7:30 AM (EST)","Incline DB Press (https://www.notion.so/Incline-DB-Press-1936551aa02980659b9becf1de270503?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1936551aa02980f8834ff8cf26e9f288?pvs=21)",5
Pull Day 26,163.8,"February 8, 2025 11:00 AM (EST)","Pull Up (https://www.notion.so/Pull-Up-1946551aa029804796bdd4ec690af0ad?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1946551aa0298073b6d8c191acf55130?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1946551aa02980a68806fdfecc17f92a?pvs=21), Seated machine row(single arm) (https://www.notion.so/Seated-machine-row-single-arm-1946551aa02980998e42f407333c0b82?pvs=21)",5
Arm Day 26,164.8,"February 11, 2025 1:30 AM (EST)","Skullcrushers (https://www.notion.so/Skullcrushers-1976551aa02980bc8faed578d6d0f175?pvs=21), EZ curl (https://www.notion.so/EZ-curl-1976551aa029804e8608e66046fb8348?pvs=21), Ez curl (https://www.notion.so/Ez-curl-1976551aa0298046b90acdf09bba7705?pvs=21), Weighted dip (https://www.notion.so/Weighted-dip-1976551aa02980eba964e5144ea3d3d1?pvs=21), Double Cable Bicep Curl (https://www.notion.so/Double-Cable-Bicep-Curl-1976551aa029804fba6dedbe8cdc41cd?pvs=21)",7
Leg Day 26,165,"February 14, 2025 4:00 PM (EST)","Hack Squat (https://www.notion.so/Hack-Squat-19a6551aa02980e895f4cd649add3ba7?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-19a6551aa02980c9a985ec5cc8e09924?pvs=21), Good Morning (https://www.notion.so/Good-Morning-19a6551aa0298032b522fa254a7ab7d7?pvs=21)",5
Push Day 27,165.2,"February 15, 2025 3:00 PM (EST)","Incline Bench Press (https://www.notion.so/Incline-Bench-Press-19b6551aa029803f996dc2042e6a9f9f?pvs=21), Military Press (https://www.notion.so/Military-Press-19b6551aa02980c6b28cc6525329ae07?pvs=21), Machine Press (https://www.notion.so/Machine-Press-19b6551aa02980b1a230ef1abf434c05?pvs=21), Machine Press(f+partials) (https://www.notion.so/Machine-Press-f-partials-19b6551aa02980ea9903ed98c92997c4?pvs=21)",7
Pull Day 27,166,"February 16, 2025 1:00 PM (EST)","Bent-over row (https://www.notion.so/Bent-over-row-19c6551aa02980758c2dcfa839481992?pvs=21), Bent-over row (https://www.notion.so/Bent-over-row-19c6551aa029804da2b8e5777ff0c8ae?pvs=21)",4
Arm Day 27,166.6,"February 17, 2025 3:30 PM (EST)","RG lat pulldown(bf)(1x-14) (https://www.notion.so/RG-lat-pulldown-bf-1x-14-19d6551aa02980d3b2b3c5813e58dae3?pvs=21), Machine Lateral Raise (1x-14) (https://www.notion.so/Machine-Lateral-Raise-1x-14-19d6551aa02980ca8184e20ac2cd3c3a?pvs=21), Cable Tricep Pushdown(1x-6.8) (https://www.notion.so/Cable-Tricep-Pushdown-1x-6-8-19d6551aa0298094aca5d5f19e62d241?pvs=21), Strict Barbell Curl(into no strict) (https://www.notion.so/Strict-Barbell-Curl-into-no-strict-19d6551aa029803da348e26075312fd3?pvs=21)",8
Leg Day 27,165.8,"February 18, 2025 12:00 PM (EST)","Back squat (https://www.notion.so/Back-squat-19e6551aa02980b5a0f0c120a05e45fa?pvs=21), Back squat (https://www.notion.so/Back-squat-19e6551aa02980c9b112d88ae8f76d30?pvs=21)",3
Push Day 28,167.8,"February 19, 2025 1:00 AM (EST)","DB Press (1x-6) (https://www.notion.so/DB-Press-1x-6-19f6551aa029804eb251d81d59db49b0?pvs=21), SM Seated Shoulder Press (1x-10) (https://www.notion.so/SM-Seated-Shoulder-Press-1x-10-19f6551aa02980338c50d716ed8cdc8b?pvs=21), Machine Pec Fly (1x-20) (https://www.notion.so/Machine-Pec-Fly-1x-20-19f6551aa0298029875dfbd72f7bfd75?pvs=21)",7
Pull Day 28,166.6,"February 23, 2025 1:00 AM (EST)","NG Seated Cable Row (1x-14) (https://www.notion.so/NG-Seated-Cable-Row-1x-14-1a36551aa02980b4b842ec1f2298a4bf?pvs=21), Machine Pulldown (https://www.notion.so/Machine-Pulldown-1a36551aa0298033a938df653333b1f5?pvs=21), Cable Upright Row (1x-6.8) (https://www.notion.so/Cable-Upright-Row-1x-6-8-1a36551aa02980c297d2c3e278d803c0?pvs=21), Lat Pullover (https://www.notion.so/Lat-Pullover-1a36551aa029805fb14be21f78e54b9b?pvs=21), Pull Up(f) (https://www.notion.so/Pull-Up-f-1a36551aa029808dbb68ecd82cd20708?pvs=21)",7
Arm Day 28,166.4,"February 25, 2025 7:30 AM (EST)","Preacher Curl (https://www.notion.so/Preacher-Curl-1a56551aa02980f9b5ffdd091f0d0f10?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-1a56551aa02980e792d1fff90b418221?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-1a56551aa0298068b5d5cfea9bab59b1?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-1a56551aa029800c9b73c97c2f8bcd51?pvs=21)",7
Leg Day 28,165,"February 26, 2025","Sled Press (https://www.notion.so/Sled-Press-1aa6551aa02980658580e87657088488?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-1aa6551aa029809dba39c4c0d89ee585?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-1aa6551aa029806dab60cb8515e4c4cd?pvs=21)",7
Push Day 29,166.6,"February 27, 2025 3:30 AM (EST)","Bench Press (https://www.notion.so/Bench-Press-1a76551aa02980e290d4c9b2a78b2c2c?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1a76551aa02980df9e5ffe3967f000bb?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1a76551aa029807db124c7b9f7feecdc?pvs=21)",6
Pull Day 29,165.8,"February 28, 2025 7:30 AM (EST)","Gorilla Row (https://www.notion.so/Gorilla-Row-1a86551aa02980f097f6d0329ade920e?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-1a86551aa029806bb036c145ceb8838f?pvs=21), Pull Up (https://www.notion.so/Pull-Up-1a86551aa0298057a33be47ba4c5cd89?pvs=21), Assisted Pull up (https://www.notion.so/Assisted-Pull-up-1a86551aa02980ac8241dd5b5a9f60f3?pvs=21)",7
Arm Day 29,164.6,"March 7, 2025 6:00 AM (EST)","Incline DB Curl (https://www.notion.so/Incline-DB-Curl-1af6551aa0298049bb1ac6103b3da190?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-1af6551aa02980c1b6c5f4ce0b48b32f?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1af6551aa0298088833fe144440626cb?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-1af6551aa02980ee9f3bf8c069844de7?pvs=21), Overhead Cable Tricep Extension (https://www.notion.so/Overhead-Cable-Tricep-Extension-1af6551aa0298031940dea77d87caa7f?pvs=21)",7
Leg Day 29,164.2,"March 8, 2025 1:00 PM (EST)","Barbell RDL (https://www.notion.so/Barbell-RDL-1b06551aa02980e89e0bd8a44e773f1f?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-1b06551aa02980dbb60dd940d88c4f83?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-1b06551aa029806395d9e3f551eee4a2?pvs=21), Leg Press(F) (https://www.notion.so/Leg-Press-F-1b06551aa02980d984cecec827b6a60b?pvs=21)",7
Push Day 30,165,"March 10, 2025 7:00 PM (EDT)","Incline DB Press(1x-6) (https://www.notion.so/Incline-DB-Press-1x-6-1b26551aa02980628c2ed69611f0f5c0?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-1b36551aa029802cb695cb1a0d11aa19?pvs=21), Machine Shoulder Press(f) (https://www.notion.so/Machine-Shoulder-Press-f-1b36551aa029807984bbda1ce018736d?pvs=21), Machine Press (https://www.notion.so/Machine-Press-1b36551aa02980478471d642de4f63b9?pvs=21), Machine Press(f) (https://www.notion.so/Machine-Press-f-1b36551aa02980518a53f9346569f5d3?pvs=21)",8
Pull Day 30,166,"March 15, 2025 1:30 PM (EDT)","Lat Pulldown (1x-13) (https://www.notion.so/Lat-Pulldown-1x-13-1b76551aa0298021984cde0b66933575?pvs=21), WNG Lat Pulldown  (https://www.notion.so/WNG-Lat-Pulldown-1b76551aa0298098a4d0eeef8fd10ccd?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1b86551aa02980288cf8cbdbc14b9018?pvs=21)",7
Arm Day 30,165.4,"March 16, 2025 7:30 PM (EDT)","Skullcrushers (https://www.notion.so/Skullcrushers-1b86551aa02980dbbe8cd850cd9ada80?pvs=21), EZ Curl (https://www.notion.so/EZ-Curl-1b96551aa02980fbb7cdc4fe1caf368f?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-1b96551aa0298082b443d8db14a74f30?pvs=21)",7
Leg Day 30,165.8,"March 18, 2025 6:00 PM (EDT)","Back Squat (https://www.notion.so/Back-Squat-1ba6551aa0298015be61f43c6dc9382d?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-1ba6551aa02980cf9a83c6d0a06f53b2?pvs=21), HR Back Squat(f) (https://www.notion.so/HR-Back-Squat-f-1ba6551aa02980a5aa92fffb149ad8ef?pvs=21), Good Morning (https://www.notion.so/Good-Morning-1ba6551aa02980278c4ffdcd2d43be98?pvs=21)",8
Push Day 31,166,"March 20, 2025 6:00 PM (EDT)","Bench Press (https://www.notion.so/Bench-Press-1bc6551aa0298068a85fff822cf3dc92?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1bc6551aa029804594b5d99d347df359?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1bc6551aa02980cda98ef0bd303569d1?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1bd6551aa02980dbbf81e28fa673cd5d?pvs=21)",7
Pull Day 31,167.2,"March 21, 2025 2:00 PM (EDT)","Bent-Over Row (https://www.notion.so/Bent-Over-Row-1bd6551aa029804b8330c2596a5dae4c?pvs=21), Pull Up (https://www.notion.so/Pull-Up-1bd6551aa029803ebfbbf32205333ba0?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-1bd6551aa02980c9b9b4e7728a65045c?pvs=21), Lat Pullover (https://www.notion.so/Lat-Pullover-1bd6551aa029802f80b5d66397d19aaa?pvs=21), CG Lat Pulldown (https://www.notion.so/CG-Lat-Pulldown-1bd6551aa0298042b66bd9e316cb62bc?pvs=21)",8
Arm Day 31,166,"March 28, 2025 4:30 AM (EDT)","RG lat pulldown (bf) (https://www.notion.so/RG-lat-pulldown-bf-1c46551aa0298043b82fd32a24da01b5?pvs=21), Cable Overhead Tricep ext (https://www.notion.so/Cable-Overhead-Tricep-ext-1c46551aa029808b8453cd5bc9e43f0e?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-1c46551aa02980e18f2edfe2c2c23f5e?pvs=21)",6
Leg Day 31,165.2,"March 29, 2025 3:00 AM (EDT)",Barbell RDL (https://www.notion.so/Barbell-RDL-1c56551aa02980ada176f006b1e10a5b?pvs=21),2
Push Day 32,165.4,"April 7, 2025 10:00 AM (EDT)",Machine Press (https://www.notion.so/Machine-Press-1ce6551aa02980f19d2bf795b6e3846a?pvs=21),2
Pull Day 32,166.6,"April 10, 2025 9:30 AM (EDT)",WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1d16551aa029807aa3f8c266bb3fda5f?pvs=21),2
Arm Day 32,165.2,"April 18, 2025 4:00 PM (EDT)","DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1d96551aa02980b6af27c8f737aba399?pvs=21), RG Lat Pulldown (https://www.notion.so/RG-Lat-Pulldown-1d96551aa0298036b7cff03360fda242?pvs=21)",2
Leg Day 32,165.2,"May 2, 2025 5:00 PM (EDT)","Sled Press (https://www.notion.so/Sled-Press-1e76551aa029804a99a2daf3ddad1883?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-1e76551aa02980278e61c05b701a89c8?pvs=21), Leg Press (https://www.notion.so/Leg-Press-1e96551aa02980e8a930cde57f90cd04?pvs=21)",6
Push Day 33,168,"May 4, 2025 3:00 PM (EDT)","SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-1e96551aa02980f3b36cf6a9fd420d5b?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1e96551aa0298070baa8da783e1e4c9e?pvs=21)",5
Pull Day 33,165,"May 7, 2025 5:00 PM (EDT)","Seated Machine Row (https://www.notion.so/Seated-Machine-Row-1ec6551aa029805c859ffa74d22ae93f?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-1ec6551aa02980ed8e88ff30d63a6bb7?pvs=21)",5
Arm Day 33,164,"May 9, 2025 5:00 PM (EDT)",Skullcrushers (https://www.notion.so/Skullcrushers-1ee6551aa0298018bf06fb2dd1c23471?pvs=21),3
Leg Day 33,164,"May 13, 2025 5:00 PM (EDT)","Barbell RDL (https://www.notion.so/Barbell-RDL-1f36551aa02980c18f9dc8c17ecc1fd7?pvs=21), Barbell RDL(f) (https://www.notion.so/Barbell-RDL-f-1f36551aa0298025a5b6d8ef3cb90229?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-1f36551aa0298080a24aee269b84c92b?pvs=21)",6
Push Day 34,165,"May 14, 2025 10:30 AM (EDT)","Bench Press (https://www.notion.so/Bench-Press-1f36551aa02980578319c91f7e6d17ce?pvs=21), Bench Press(f) (https://www.notion.so/Bench-Press-f-1f36551aa0298025a61fc9bbbbd0d4ad?pvs=21), DB Shoulder Press (1x-4) (https://www.notion.so/DB-Shoulder-Press-1x-4-1f36551aa02980f2af68fa38af280f98?pvs=21), Machine Converging Chest Press (https://www.notion.so/Machine-Converging-Chest-Press-1f36551aa029802b8b9fde5af3d16c65?pvs=21)",7
Pull Day 34,163.5,"May 15, 2025 1:00 PM (EDT)","Bent-Over Row (https://www.notion.so/Bent-Over-Row-1f46551aa0298038840df2894b8ac85f?pvs=21), Bent-Over Row(f) (https://www.notion.so/Bent-Over-Row-f-1f46551aa0298049b3d7d7e14adedd21?pvs=21), WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-1f46551aa029804896d9d0cdcf1a43be?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1f46551aa0298029bf96ea5939c757cf?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-1f46551aa02980579be8ddca6239bf8b?pvs=21)",7
,,,,